Índice;;;;;;;;;;;;;;;
COD (NUTS2013);Designação;1º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;Valor mediano das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;3º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;
;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023
1870708;Mourão;333;333;347;347;;523;511;602;583;;985;985;1 019;1 019
1870709;Portel;176;174;279;250;;465;423;458;405;;767;750;768;701
1870710;Redondo;399;388;388;374;;707;675;694;599;;1 021;959;1 094;990
1870711;Reguengos de Monsaraz;479;488;483;515;;780;777;797;859;;1 075;1 067;1 087;1 093
1870712;Vendas Novas;721;737;751;764;;1 086;1 062;1 059;1 034;;1 482;1 482;1 432;1 316
1870713;Viana do Alentejo;388;341;412;393;;645;643;643;634;;1 000;976;881;889
1870714;Vila Viçosa;346;372;494;365;;647;686;708;652;;984;987;958;881
15;Algarve;1 904;1 870;1 810;1 788;;2 613;2 564;2 496;2 429;;3 438;3 375;3 279;3 166
150;Algarve;1 904;1 870;1 810;1 788;;2 613;2 564;2 496;2 429;;3 438;3 375;3 279;3 166
1500801;Albufeira;2 166;2 137;2 112;2 042;;2 775;2 717;2 660;2 586;;3 474;3 431;3 359;3 251
1500802;Alcoutim;432;360;314;297;;795;791;642;753;;1 243;1 243;919;962
1500803;Aljezur;2 442;2 313;2 137;2 078;;2 929;2 848;2 754;2 669;;3 557;3 524;3 488;3 431
1500804;Castro Marim;1 381;1 329;1 277;1 417;;2 152;2 072;2 038;2 025;;2 876;2 809;2 849;2 722
1500805;Faro;1 737;1 774;1 751;1 782;;2 315;2 317;2 277;2 297;;3 028;2 941;2 861;2 850
1500806;Lagoa;1 844;1 840;1 765;1 773;;2 640;2 575;2 428;2 415;;3 537;3 482;3 299;3 213
1500807;Lagos;2 442;2 353;2 260;2 215;;3 182;3 079;2 952;2 837;;3 926;3 852;3 704;3 556
1500808;Loulé;2 256;2 191;2 168;2 155;;3 269;3 168;3 077;3 000;;4 483;4 329;4 158;4 005
1500809;Monchique;559;469;423;506;;1 057;1 000;1 000;1 110;;2 000;1 893;1 837;1 915
1500810;Olhão;1 665;1 611;1 568;1 500;;2 085;2 013;1 994;1 951;;2 700;2 594;2 551;2 540
1500811;Portimão;1 959;1 946;1 874;1 811;;2 541;2 530;2 483;2 374;;3 116;3 100;3 072;3 000
1500812;São Brás de Alportel;1 240;1 319;1 286;1 286;;1 843;1 850;1 836;1 802;;2 320;2 411;2 477;2 342
1500813;Silves;1 504;1 500;1 429;1 408;;2 180;2 130;2 053;2 009;;2 792;2 746;2 663;2 605
1500814;Tavira;2 195;2 145;2 083;1 969;;2 826;2 731;2 570;2 420;;3 551;3 437;3 239;2 946
1500815;Vila do Bispo;2 196;1 962;1 733;1 694;;3 162;2 943;2 922;2 669;;4 012;3 935;3 900;3 611
1500816;Vila Real de Santo António;1 695;1 687;1 489;1 489;;2 311;2 284;2 154;2 046;;2 998;2 948;2 808;2 808
2;Região Autónoma dos Açores;661;648;654;653;;1 105;1 087;1 079;1 055;;1 600;1 570;1 549;1 502
20;Região Autónoma dos Açores;661;648;654;653;;1 105;1 087;1 079;1 055;;1 600;1 570;1 549;1 502
200;Região Autónoma dos Açores;661;648;654;653;;1 105;1 087;1 079;1 055;;1 600;1 570;1 549;1 502
2004301;Angra do Heroísmo;685;657;650;625;;976;976;978;938;;1 314;1 264;1 259;1 232
2004701;Horta;764;725;668;664;;1 189;1 118;1 089;1 020;;1 524;1 458;1 394;1 351
2004201;Lagoa;964;889;892;911;;1 379;1 349;1 356;1 302;;1 643;1 611;1 601;1 571
2004801;Lajes das Flores;285;299;314;409;;549;668;590;579;;1 429;1 420;1 309;1 026
2004601;Lajes do Pico;509;393;414;449;;646;629;710;789;;1 147;1 151;1 161;1 107
2004602;Madalena;426;357;328;351;;765;732;701;699;;1 481;1 500;1 442;1 448
2004202;Nordeste;533;502;467;421;;805;739;735;713;;1 220;1 164;1 154;1 004
2004203;Ponta Delgada;1 053;1 000;1 000;975;;1 497;1 440;1 420;1 353;;2 044;1 995;1 900;1 860
2004204;Povoação;498;496;504;462;;772;786;745;745;;1 367;1 356;1 130;1 128
2004205;Ribeira Grande;623;603;649;643;;1 000;963;973;984;;1 466;1 480;1 285;1 280
2004401;Santa Cruz da Graciosa;174;174;176;198;;322;329;332;354;;467;494;531;552
2004603;São Roque do Pico;567;548;674;521;;1 163;1 143;1 184;1 182;;1 715;1 835;1 958;1 958
2004502;Velas;302;267;269;278;;683;582;592;651;;1 042;1 050;1 042;1 250
2004302;Vila da Praia da Vitória;528;551;520;565;;969;963;869;869;;1 438;1 448;1 380;1 304
2004101;Vila do Porto;715;814;810;740;;1 000;1 099;1 098;1 111;;1 462;1 535;1 370;1 430
2004206;Vila Franca do Campo;686;704;725;682;;969;1 027;1 085;1 085;;1 369;1 369;1 372;1 400
3;Região Autónoma da Madeira;1 122;1 114;1 075;1 059;;1 889;1 875;1 689;1 582;;2 677;2 649;2 452;2 311
30;Região Autónoma da Madeira;1 122;1 114;1 075;1 059;;1 889;1 875;1 689;1 582;;2 677;2 649;2 452;2 311
300;Região Autónoma da Madeira;1 122;1 114;1 075;1 059;;1 889;1 875;1 689;1 582;;2 677;2 649;2 452;2 311
3003101;Calheta;800;700;736;685;;1 376;1 354;1 326;1 276;;2 326;2 466;2 348;2 205
3003102;Câmara de Lobos;954;967;976;1 022;;1 511;1 497;1 489;1 483;;2 046;1 972;1 882;1 813
3003103;Funchal;1 656;1 675;1 552;1 491;;2 500;2 498;2 345;2 172;;3 167;3 158;3 077;2 866
3003104;Machico;865;868;887;803;;1 236;1 236;1 236;1 236;;1 881;1 877;1 766;1 766
3003105;Ponta do Sol;654;660;549;554;;1 446;1 415;1 361;1 242;;2 214;2 213;2 151;2 012
3003106;Porto Moniz;404;384;384;382;;803;850;795;761;;1 637;1 570;1 429;1 256
3003201;Porto Santo;1 255;1 255;1 227;1 142;;1 630;1 556;1 535;1 441;;2 117;2 043;1 868;1 852
3003107;Ribeira Brava;489;495;507;656;;1 088;1 155;1 167;1 084;;1 874;1 934;1 882;1 667
3003108;Santa Cruz;1 292;1 289;1 099;1 095;;1 798;1 720;1 479;1 437;;2 124;2 070;1 949;1 858
3003109;Santana;461;524;525;494;;938;929;875;816;;1 301;1 232;1 254;1 280
3003110;São Vicente;479;538;587;596;;1 016;938;977;1 032;;1 681;1 657;1 390;1 390
Fonte: INE, I.P., Estatisticas de Preços da Habitação ao nível local.;;;;;;;;;;;;;;;
