Índice;;;;;;;;;;;;;;;
COD (NUTS2013);Designação;1º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;Valor mediano das vendas por m² de alojamentos familiares nos últimos 12 meses;;;;;3º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses;;;
;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023;;4ºT 2023;3ºT2023;2ºT2023;1ºT2023
11C0106;Castelo de Paiva;483;476;476;483;;916;903;943;943;;1 114;1 075;1 081;1 080
11C0305;Celorico de Basto;280;289;355;331;;686;677;679;671;;1 010;1 019;1 004;948
11C1804;Cinfães;199;242;214;243;;593;592;535;549;;1 085;1 049;943;951
11C1303;Felgueiras;625;641;595;572;;931;936;910;844;;1 222;1 223;1 214;1 195
11C1305;Lousada;672;625;698;672;;1 000;939;956;927;;1 234;1 143;1 156;1 149
11C1307;Marco de Canaveses;527;519;500;483;;918;913;874;863;;1 271;1 250;1 181;1 144
11C1309;Paços de Ferreira;717;717;708;713;;1 010;992;974;958;;1 265;1 261;1 253;1 175
11C1311;Penafiel;694;667;644;583;;1 070;1 026;1 000;939;;1 398;1 333;1 315;1 289
11C1813;Resende;216;214;224;224;;438;515;488;476;;901;948;882;867
11D;Douro;267;273;281;280;;654;676;675;653;;1 071;1 114;1 093;1 060
11D1701;Alijó;253;175;208;183;;482;439;600;537;;833;857;942;857
11D1801;Armamar;165;125;126;101;;400;257;279;233;;635;550;546;534
11D0403;Carrazeda de Ansiães;102;94;127;142;;322;350;373;330;;515;660;667;728
11D1805;Lamego;337;319;326;332;;769;731;736;754;;1 088;1 065;1 033;969
11D1807;Moimenta da Beira;179;158;150;158;;497;354;357;365;;817;638;630;627
11D1707;Murça;184;214;201;222;;424;447;447;481;;681;619;635;643
11D1708;Peso da Régua;508;577;575;479;;995;978;959;847;;1 175;1 189;1 091;1 071
11D1710;Sabrosa;237;238;240;240;;427;380;388;350;;798;624;665;694
11D1815;São João da Pesqueira;102;167;167;197;;286;356;363;365;;556;640;675;674
11D1818;Sernancelhe;96;75;95;75;;229;197;205;201;;490;443;490;437
11D1819;Tabuaço;90;138;153;138;;226;284;443;467;;603;663;783;783
11D1820;Tarouca;355;403;381;381;;687;688;625;625;;808;844;795;785
11D0409;Torre de Moncorvo;145;126;122;133;;306;330;345;400;;694;753;679;763
11D0914;Vila Nova de Foz Côa;129;151;184;184;;313;310;372;386;;590;625;642;594
11D1714;Vila Real;810;875;870;833;;1 271;1 310;1 228;1 206;;1 810;1 810;1 739;1 516
11E;Terras de Trás-os-Montes;335;361;386;389;;699;697;696;702;;1 019;984;985;975
11E0401;Alfândega da Fé;208;211;211;177;;331;403;407;400;;667;736;700;692
11E0402;Bragança;651;628;608;608;;899;850;844;844;;1 172;1 093;1 084;1 047
11E0405;Macedo de Cavaleiros;227;407;379;373;;540;588;591;606;;760;817;789;837
11E0406;Miranda do Douro;159;206;205;205;;299;377;377;363;;488;658;670;612
11E0407;Mirandela;417;383;385;435;;750;766;742;777;;1 091;1 063;1 043;1 036
11E0408;Mogadouro;175;146;190;190;;350;298;356;394;;770;579;710;719
11E0410;Vila Flor;123;169;196;204;;330;334;332;331;;525;494;489;452
11E0412;Vinhais;250;270;284;249;;442;499;484;446;;718;723;729;718
16;Centro;538;536;540;547;;1 025;1 002;988;977;;1 561;1 527;1 491;1 458
16B;Oeste;939;894;860;844;;1 469;1 414;1 372;1 340;;1 957;1 910;1 857;1 789
16B1001;Alcobaça;781;712;667;679;;1 274;1 204;1 124;1 076;;1 901;1 840;1 717;1 661
16B1101;Alenquer;847;702;671;677;;1 389;1 293;1 235;1 213;;1 688;1 603;1 566;1 525
16B1102;Arruda dos Vinhos;891;891;980;980;;1 464;1 436;1 484;1 482;;1 871;1 856;1 829;1 749
16B1005;Bombarral;739;583;592;563;;1 115;1 065;1 033;1 000;;1 514;1 397;1 360;1 324
16B1104;Cadaval;461;470;448;488;;912;892;862;860;;1 319;1 250;1 182;1 180
16B1006;Caldas da Rainha;1 104;1 083;1 049;1 048;;1 500;1 457;1 415;1 389;;1 969;1 905;1 845;1 786
16B1108;Lourinhã;928;903;927;894;;1 473;1 422;1 382;1 322;;1 932;1 870;1 814;1 712
16B1011;Nazaré;1 509;1 564;1 469;1 330;;2 059;2 137;2 065;1 839;;2 816;2 898;2 939;2 763
16B1012;Óbidos;1 063;1 063;1 088;1 141;;1 790;1 780;1 762;1 693;;2 264;2 253;2 253;2 162
16B1014;Peniche;1 342;1 298;1 220;1 164;;1 683;1 650;1 568;1 513;;2 261;2 093;1 987;1 877
16B1112;Sobral de Monte Agraço;671;661;612;543;;1 164;1 192;1 206;1 041;;1 701;1 715;1 759;1 620
16B1113;Torres Vedras;946;934;950;921;;1 581;1 553;1 554;1 518;;2 072;2 017;2 000;1 949
16D;Região de Aveiro;825;810;798;781;;1 283;1 251;1 219;1 189;;1 835;1 818;1 741;1 683
16D0101;Águeda;590;559;586;583;;1 000;892;908;892;;1 329;1 268;1 235;1 205
16D0102;Albergaria-a-Velha;616;668;633;630;;1 045;1 081;1 056;1 001;;1 250;1 267;1 237;1 201
16D0103;Anadia;356;373;398;409;;654;661;719;734;;1 017;1 023;1 030;1 042
16D0105;Aveiro;1 377;1 354;1 266;1 233;;1 912;1 977;1 803;1 768;;2 679;2 753;2 594;2 613
16D0108;Estarreja;495;496;556;525;;950;996;964;903;;1 431;1 463;1 477;1 369
16D0110;Ílhavo;1 210;1 149;1 107;1 091;;1 755;1 607;1 533;1 500;;2 452;2 336;2 263;2 131
16D0112;Murtosa;596;618;659;613;;1 061;1 060;1 067;1 050;;1 384;1 348;1 406;1 406
16D0114;Oliveira do Bairro;797;755;757;736;;1 056;1 020;1 006;964;;1 262;1 226;1 229;1 178
16D0115;Ovar;914;837;857;847;;1 340;1 271;1 277;1 241;;1 736;1 667;1 647;1 587
16D0117;Sever do Vouga;349;303;281;308;;710;576;519;485;;984;927;887;816
16D0118;Vagos;888;860;860;867;;1 389;1 326;1 234;1 182;;1 755;1 676;1 545;1 527
16E;Região de Coimbra;583;590;596;607;;1 086;1 065;1 061;1 054;;1 714;1 677;1 647;1 606
16E0601;Arganil;293;265;256;273;;577;518;500;500;;936;863;841;815
16E0602;Cantanhede;498;498;484;538;;822;797;772;825;;1 209;1 209;1 200;1 200
16E0603;Coimbra;1 150;1 167;1 157;1 118;;1 734;1 733;1 699;1 677;;2 424;2 404;2 326;2 219
16E0604;Condeixa-a-Nova;765;724;713;644;;1 199;1 157;1 103;1 054;;1 492;1 481;1 428;1 380
16E0605;Figueira da Foz;968;954;933;907;;1 412;1 349;1 310;1 252;;1 892;1 885;1 810;1 711
16E0606;Góis;204;197;229;243;;424;499;536;517;;722;773;827;806
16E0607;Lousã;426;416;474;483;;817;833;859;852;;1 084;1 109;1 141;1 123
16E0111;Mealhada;425;468;493;548;;749;805;855;892;;1 088;1 119;1 113;1 097
16E0608;Mira;872;763;722;761;;1 317;1 256;1 176;1 182;;1 742;1 733;1 537;1 578
16E0609;Miranda do Corvo;303;413;427;416;;611;636;598;643;;866;826;858;882
16E0610;Montemor-o-Velho;494;475;475;440;;912;865;843;809;;1 248;1 236;1 197;1 156
16E1808;Mortágua;274;294;396;440;;583;565;623;676;;962;863;898;898
16E0611;Oliveira do Hospital;324;305;254;299;;652;658;627;609;;927;909;833;841
16E0612;Pampilhosa da Serra;124;136;145;145;;228;298;301;349;;500;603;603;692
16E0613;Penacova;250;289;277;350;;524;570;542;608;;754;773;845;856
16E0614;Penela;260;259;286;248;;520;562;593;632;;1 060;1 148;920;938
16E0615;Soure;326;364;368;364;;594;662;665;672;;898;917;871;880
16E0616;Tábua;271;239;239;283;;618;600;625;636;;819;800;819;819
16E0617;Vila Nova de Poiares;471;397;422;428;;731;730;718;674;;1 002;990;1 000;994
16F;Região de Leiria;664;653;654;658;;1 138;1 097;1 068;1 038;;1 561;1 508;1 460;1 419
16F1002;Alvaiázere;293;276;262;233;;515;492;478;423;;833;817;748;744
16F1003;Ansião;282;306;314;300;;481;542;599;620;;831;832;895;948
16F1004;Batalha;500;429;486;504;;998;825;789;829;;1 291;1 244;1 204;1 183
16F1007;Castanheira de Pêra;231;253;231;231;;446;434;493;460;;624;619;613;696
16F1008;Figueiró dos Vinhos;367;330;330;300;;630;580;551;524;;1 040;995;971;850
16F1009;Leiria;1 005;986;969;964;;1 416;1 368;1 331;1 306;;1 826;1 757;1 714;1 680
16F1010;Marinha Grande;897;880;803;802;;1 136;1 107;1 042;1 025;;1 398;1 343;1 253;1 229
16F1013;Pedrógão Grande;292;278;250;223;;536;543;570;535;;913;1 006;1 000;913
16F1015;Pombal;501;466;471;455;;980;941;920;878;;1 469;1 352;1 334;1 235
16F1016;Porto de Mós;384;417;463;500;;714;700;750;772;;1 066;1 048;1 051;994
